car_model,price,year_model,kms,color,fueltype
Chevrolet Spark 1.2 Gt M300 Ltz,$31.500.000,2016,85.000,Gris,Gasolina
Chevrolet Spark 1.2 Gt M300,$28.000.000,2012,123.000,Rojo,Gasolina
Chevrolet Spark Gt Modelo 2015 Color Rojo,$32.500.000,2015,72.000,Rojo,Gasolina
Chevrolet Spark Gt Version Full Equipo ,$32.800.000,2017,105.000,Color not found,Gasolina
Chevrolet Spark 1.0 Go,$20.000.000,2010,133.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$27.000.000,2017,29.000,Negro,Gasolina
Chevrolet Spark 1.0 7:24 Cronos,$21.300.000,2011,96.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$27.500.000,2019,82.300,Rojo,Gasolina
Chevrolet Spark GT 1.2 Lt,$43.000.000,2020,38.000,Azul,Gasolina
Chevrolet Spark,$23.000.000,2012,59.800,Gris,Gasolina
Chevrolet Spark 1.0 Lt M200,$20.000.000,2012,152.000,Color not found,Gasolina
Chevrolet Spark 1.0 Life,$22.500.000,2016,96.000,Blanco,Gasolina
Chevrolet Spark Gt - 2017,$35.000.000,2017,160.500,Blanco,Gasolina
Chevrolet Spark 1.2 Gt M300 Ltz,$32.000.000,2015,62.000,Gris,Gasolina
Chevrolet Spark 1.0 Life,$22.800.000,2017,96.240,Rojo,Gasolina
Chevrolet Spark 1.0 Life,$28.000.000,2018,93.000,Blanco,Gasolina
Chevrolet Spark Life,$21.900.000,2013,113.000,Rojo,Gasolina
